text,emotion
wait so how is the lecture notes related to the other stuff we learned,Curious
Feels great knowing I can handle this Python error on my own now.,Confident
yawn... statistics homework is not holding my attention today,Bored
"I'm ready to tackle the reading assignment head on, no worries.",Confident
I keep hitting the same wall with machine learning basics and I'm over it.,Frustrated
"this is so annoying, this lab report keeps breaking on me",Frustrated
"Not gonna lie, the presentation slides is putting me to sleep before the deadline.",Bored
"no more stress over this chemistry equation, i know what im doing",Confident
I don't understand this French verb tense at all while studying alone.,Confused
I walked through binary search step by step and it clicked.,Confident
SQL joins is being so difficult for no reason,Frustrated
I'm not sure what the question is even asking about the exam material.,Confused
"at my limit with this loop, ive tried literally everything",Frustrated
"Finally cracked the lecture notes, I know exactly what I'm doing.",Confident
is there a cool real world use case for machine learning basics?,Curious
"I actually understand this chemistry equation now, this makes sense.",Confident
"None of this makes sense, especially data structures.",Confused
"im not even worried about the group project plan anymore, got it down",Confident
I keep wanting to ask more questions about the coding assignment.,Curious
"ooh wait thats interesting, how does my code actually work under the hood?",Curious
"I'd love to explore the lecture notes further, it's more fascinating than I expected.",Curious
not even a little interested in the assignment instructions tbh,Bored
zoned out like 3 times reading about this French verb tense,Bored
is there a cool real world use case for the reading assignment?,Curious
I'm confident I can explain the research paper thesis to someone else now.,Confident
cant tell whats going on with binary search at all,Confused
"im losing my mind over the exam material, nothing helps",Frustrated
I've reread my code three times and I'm still confused.,Confused
I don't feel motivated to keep going through this loop right now.,Bored
this economics concept is just not making sense no matter how many times i read it,Confused
"im mixing up this French verb tense with something else i think, so unclear",Confused
I've tried everything and the coding assignment still isn't working in class today.,Frustrated
I don't feel motivated to keep going through the reading assignment right now.,Bored
"the history reading isn't clicking for me, what am I missing?",Confused
wait what?? this physics problem set makes zero sense to me,Confused
wait what?? this economics concept makes zero sense to me,Confused
the assignment instructions is a total blur to me right now,Confused
"nailed it, the exam material works exactly how it should now",Confident
"nailed it, this proof works exactly how it should now",Confident
"Honestly the research paper thesis feels so repetitive, I keep zoning out.",Bored
I keep wanting to ask more questions about the lecture notes.,Curious
why does this economics concept feel like a different language,Confused
"Finally cracked thermodynamics, I know exactly what I'm doing.",Confident
"Same old stuff with statistics homework, nothing new is grabbing my attention.",Bored
I'm stuck on thermodynamics and it's making me want to give up.,Frustrated
I keep wanting to ask more questions about machine learning basics.,Curious
"I'm intrigued by the coding assignment, is there a real-world example?",Curious
"im losing my mind over the essay outline, nothing helps",Frustrated
"kinda curious now, is there more to my code than what we covered?",Curious
why does this French verb tense keep failing every single time i try,Frustrated
I've been staring at the group project plan right now and I just can't focus anymore.,Bored
wait what?? this physics problem set makes zero sense to me,Confused
"this Python error is just... nothing new, kinda bored",Bored
"This made me wonder about this French verb tense, can you explain more?",Curious
"why is object-oriented programming so dry, i can barely stay awake",Bored
"Something about my code sparked my interest, tell me more.",Curious
I feel solid going into the next part of the coding assignment.,Confident
pretty sure i can handle SQL joins no problem now,Confident
so is this French verb tense used in real projects or just theory,Curious
I keep hitting the same wall with this Python error and I'm over it.,Frustrated
I'm out of patience with statistics homework at this point.,Frustrated
"solid on object-oriented programming now, ready for whatevers next",Confident
idk what im even looking at with the coding assignment,Confused
"why wont this lab report just work already, im so over it",Frustrated
"why wont the history reading just work already, im so over it",Frustrated
Now I'm curious how machine learning basics connects to what we learned before.,Curious
i keep drifting off thinking about literally anything else during this grammar rule,Bored
"This part of data structures used to trip me up, but not anymore.",Confident
the lecture notes is being so difficult for no reason,Frustrated
"why does this formula even work like that, genuinely curious",Curious
I double-checked my work on the exam material and it all adds up.,Confident
I don't understand binary search at all before the exam.,Confused
This error in my code is driving me crazy.,Frustrated
"I'm intrigued by binary search, is there a real-world example?",Curious
"im losing my mind over this French verb tense, nothing helps",Frustrated
I don't feel motivated to keep going through the history reading right now.,Bored
"this French verb tense is just... nothing new, kinda bored",Bored
zoned out like 3 times reading about this loop,Bored
"Same old stuff with the essay outline, nothing new is grabbing my attention.",Bored
keep hitting the same error with this chemistry equation ugh,Frustrated
smh the assignment instructions is dragging on forever,Bored
"Wait, that's actually interesting — how does the group project plan really work?",Curious
"ooh wait thats interesting, how does this physics problem set actually work under the hood?",Curious
"the research paper thesis feels like it's going nowhere, I've lost interest.",Bored
the group project plan just isn't cooperating no matter what I try while studying alone.,Frustrated
"just aced a practice question on SQL joins, feeling great",Confident
I keep checking the clock instead of working on object-oriented programming.,Bored
"I want to dig deeper into binary search, there's more to it I think.",Curious
"This part of thermodynamics got me thinking, what else is related to it?",Curious
"This is so annoying, this Python error keeps breaking no matter what I do.",Frustrated
wait so how is SQL joins related to the other stuff we learned,Curious
I think I've finally got the hang of this formula!,Confident
pretty sure i can handle the exam material no problem now,Confident
Something about algorithms and complexity isn't making sense and I can't pinpoint why.,Confused
Something about photosynthesis isn't making sense and I can't pinpoint why.,Confused
I can't bring myself to care about the history reading today.,Bored
ive redone this physics problem set like 5 times and still broken,Frustrated
Feels great knowing I can handle machine learning basics on my own now.,Confident
I feel solid going into the next part of the lecture notes.,Confident
im actually feeling good about this loop for once,Confident
"this got me thinking about the coding assignment, wanna know more",Curious
"cant focus on this formula at all rn, so dull",Bored
Can someone explain the history reading? I have no idea what's going on.,Confused
"why does the presentation slides even work like that, genuinely curious",Curious
I can't bring myself to care about the biology diagram today.,Bored
"that part about the biology diagram was surprisingly interesting, more please",Curious
"What happens if we tweak this French verb tense a little, would it change things?",Curious
I walked through the biology diagram step by step and it clicked.,Confident
zoned out like 3 times reading about this French verb tense,Bored
"im not even worried about SQL joins anymore, got it down",Confident
"I actually understand SQL joins now, this makes sense.",Confident
I'm not sure what the question is even asking about this French verb tense.,Confused
Everything about data structures feels flat and uninteresting right now.,Bored
"None of this makes sense, especially the group project plan.",Confused
"this got me thinking about this French verb tense, wanna know more",Curious
I've been staring at this lab report before the exam and I just can't focus anymore.,Bored
"solid on the lecture notes now, ready for whatevers next",Confident
I can't bring myself to care about statistics homework today.,Bored
"this lab report finally makes sense, i got this",Confident
zoned out like 3 times reading about this formula,Bored
omg i think i finally figured out this calculus problem!!,Confident
This part of this French verb tense just doesn't add up to me.,Confused
so is the research paper thesis used in real projects or just theory,Curious
"None of this makes sense, especially algorithms and complexity.",Confused
not even a little interested in the presentation slides tbh,Bored
someone explain this lab report pls im so confused,Confused
I think I've finally got the hang of this physics problem set!,Confident
"this is so annoying, the assignment instructions keeps breaking on me",Frustrated
wait what?? this economics concept makes zero sense to me,Confused
Can someone explain this API? I have no idea what's going on.,Confused
"why wont the coding assignment just work already, im so over it",Frustrated
"that part about photosynthesis was surprisingly interesting, more please",Curious
"I'm just going through the motions with photosynthesis, not really engaged.",Bored
why does the presentation slides keep failing every single time i try,Frustrated
i keep drifting off thinking about literally anything else during object-oriented programming,Bored
I don't understand algorithms and complexity at all right now.,Confused
I've tried everything and machine learning basics still isn't working in class today.,Frustrated
i keep drifting off thinking about literally anything else during the coding assignment,Bored
ive redone the group project plan like 5 times and still broken,Frustrated
I feel solid going into the next part of this loop.,Confident
"im mixing up statistics homework with something else i think, so unclear",Confused
"why is this formula so dry, i can barely stay awake",Bored
"brain totally blanking on the research paper thesis, whats going on",Confused
