text,emotion
Is there a reason data structures works this way? I want to understand the why.,Curious
"Honestly this API feels so repetitive, I keep zoning out.",Bored
"Honestly the reading assignment feels so repetitive, I keep zoning out.",Bored
someone explain this lab report pls im so confused,Confused
"This is so annoying, this economics concept keeps breaking no matter what I do.",Frustrated
"solid on the presentation slides now, ready for whatevers next",Confident
"None of this makes sense, especially SQL joins.",Confused
I've reread data structures three times and I'm still confused.,Confused
"I'm just going through the motions with linear algebra, not really engaged.",Bored
This part of this chemistry equation just doesn't add up to me.,Confused
"meh another the coding assignment, we already know this stuff",Bored
"why does the presentation slides even work like that, genuinely curious",Curious
"nailed it, the reading assignment works exactly how it should now",Confident
"ugh why wont this French verb tense just work, ive tried everything",Frustrated
"im not even worried about linear algebra anymore, got it down",Confident
"so done with the history reading, nothing is working no matter what",Frustrated
I think I've finally got the hang of this physics problem set!,Confident
pretty sure i can handle object-oriented programming no problem now,Confident
"solid on machine learning basics now, ready for whatevers next",Confident
I'm stuck on machine learning basics and it's making me want to give up.,Frustrated
omg i think i finally figured out this physics problem set!!,Confident
"binary search is just... nothing new, kinda bored",Bored
"This made me wonder about this chemistry equation, can you explain more?",Curious
Everything about this grammar rule feels flat and uninteresting right now.,Bored
"im mixing up the biology diagram with something else i think, so unclear",Confused
this SQL joins lecture is a snoozefest,Bored
I redo the exam material again and again and it still doesn't work.,Frustrated
Something about object-oriented programming isn't making sense and I can't pinpoint why.,Confused
im actually feeling good about the presentation slides for once,Confident
"literally about to give up on photosynthesis, im exhausted",Frustrated
Why does the research paper thesis keep going wrong every single time?,Frustrated
"huh, i dont get machine learning basics at all",Confused
"why is recursion so dry, i can barely stay awake",Bored
"why does this proof even work like that, genuinely curious",Curious
"never thought about photosynthesis like that, want to learn more",Curious
is there a cool real world use case for the reading assignment?,Curious
I feel solid going into the next part of the lecture notes.,Confident
"I'm ready to tackle the essay outline head on, no worries.",Confident
"I actually understand this chemistry equation now, this makes sense.",Confident
"I'm intrigued by this loop, is there a real-world example?",Curious
Can someone explain the history reading? I have no idea what's going on.,Confused
I've tried everything and this physics problem set still isn't working in today's lecture.,Frustrated
wait so how is SQL joins related to the other stuff we learned,Curious
This part of SQL joins just doesn't add up to me.,Confused
"ooh wait thats interesting, how does this physics problem set actually work under the hood?",Curious
"never thought about this French verb tense like that, want to learn more",Curious
"Honestly binary search feels so repetitive, I keep zoning out.",Bored
I've reread the presentation slides three times and I'm still confused.,Confused
"never thought about this calculus problem like that, want to learn more",Curious
"cant focus on recursion at all rn, so dull",Bored
yawn... this grammar rule is not holding my attention today,Bored
"This made me wonder about data structures, can you explain more?",Curious
skimming through this chemistry equation bc its so uninteresting,Bored
someone explain SQL joins pls im so confused,Confused
I feel solid going into the next part of the presentation slides.,Confident
"why does this economics concept even work like that, genuinely curious",Curious
im actually feeling good about the history reading for once,Confident
not even a little interested in this physics problem set tbh,Bored
I feel solid going into the next part of this French verb tense.,Confident
I don't feel motivated to keep going through SQL joins right now.,Bored
"What happens if we tweak thermodynamics a little, would it change things?",Curious
"this is so annoying, photosynthesis keeps breaking on me",Frustrated
"what would happen if we pushed statistics homework further, curious to see",Curious
I feel solid going into the next part of object-oriented programming.,Confident
this the exam material lecture is a snoozefest,Bored
"I'm intrigued by the coding assignment, is there a real-world example?",Curious
"Honestly this economics concept feels so repetitive, I keep zoning out.",Bored
"this doesnt add up, binary search seems contradictory",Confused
"Honestly the group project plan feels so repetitive, I keep zoning out.",Bored
"None of this makes sense, especially my code.",Confused
why does this grammar rule keep failing every single time i try,Frustrated
"at my limit with the reading assignment, ive tried literally everything",Frustrated
omg i think i finally figured out the exam material!!,Confident
"Honestly this French verb tense feels so repetitive, I keep zoning out.",Bored
I've reread the presentation slides three times and I'm still confused.,Confused
"None of this makes sense, especially data structures.",Confused
"this got me thinking about statistics homework, wanna know more",Curious
"what would happen if we pushed the lecture notes further, curious to see",Curious
this lab report is just not making sense no matter how many times i read it,Confused
"brain totally blanking on this economics concept, whats going on",Confused
cant tell whats going on with this loop at all,Confused
I keep checking the clock instead of working on object-oriented programming.,Bored
I redo the biology diagram again and again and it still doesn't work.,Frustrated
"hmm what if we changed something in this Python error, would that break it?",Curious
is there a cool real world use case for the assignment instructions?,Curious
"that part about this chemistry equation was surprisingly interesting, more please",Curious
is there a cool real world use case for this API?,Curious
I can't bring myself to care about data structures today.,Bored
"Wait, I'm lost — how does this economics concept even work?",Confused
I don't feel motivated to keep going through the research paper thesis right now.,Bored
"I'm ready to tackle linear algebra head on, no worries.",Confident
"ooh wait thats interesting, how does the lecture notes actually work under the hood?",Curious
